text	labels
This	O
is	O
a	O
tube	O
-	O
building	O
,	O
spionid	O
polychaete	O
,	O
and	O
a	O
transient	O
member	O
of	O
the	O
present	O
sand	B-DISTRIBUTION_DESCRIPTOR
flat	I-DISTRIBUTION_DESCRIPTOR
.	O
In	O
summer	O
,	O
it	O
reaches	O
its	O
peak	O
numerical	O
density	O
and	O
is	O
the	O
most	O
dominant	O
infaunal	B-DISTRIBUTION_DESCRIPTOR
organism	O
(	O
Tamaki	O
&	O
Kikuchi	O
,	O
1983	O
;	O
Tamaki	O
,	O
1984a	O
)	O
.	O
The	O
maximum	O
body	B-BODY_SIZE
length	I-BODY_SIZE
is	I-BODY_SIZE
8	I-BODY_SIZE
mm	I-BODY_SIZE
.	O
This	O
species	O
collects	O
detritus	O
on	O
the	O
sediment	B-DISTRIBUTION_DESCRIPTOR
surface	I-DISTRIBUTION_DESCRIPTOR
with	O
its	O
palps	O
and	O
makes	O
a	O
dwelling	B-DISTRIBUTION_DESCRIPTOR
tube	I-DISTRIBUTION_DESCRIPTOR
that	O
protrudes	O
above	O
the	O
sediment	B-DISTRIBUTION_DESCRIPTOR
surface	I-DISTRIBUTION_DESCRIPTOR
.	O
It	O
is	O
basically	O
a	O
suspension	O
-	O
feeder	O
that	O
catches	O
suspended	O
food	O
including	O
benthic	B-DISTRIBUTION_DESCRIPTOR
larvae	B-LIFE_STAGE
(	O
Levin	O
,	O
198	O
1	O
;	O
Tamaki	O
,	O
1984a	O
)	O
but	O
it	O
also	O
deposit	O
-	O
feeds	O
.	O
Most	O
marine	B-DISTRIBUTION_DESCRIPTOR
fish	O
and	O
invertebrate	O
species	O
produce	O
free	B-LIFE_STAGE
and	I-LIFE_STAGE
small	I-LIFE_STAGE
early	I-LIFE_STAGE
-	O
stages	O
which	O
are	O
part	O
of	O
the	O
plankton	O
.	O
These	O
incompletely	O
developed	O
individuals	O
are	O
highly	O
vulnerable	O
to	O
unsuitable	O
conditions	O
like	O
starvation	O
and	O
environmental	O
variability	O
,	O
and	O
it	O
was	O
early	O
recognized	O
that	O
survival	O
during	O
these	O
stages	O
often	O
regulates	O
recruitment	O
and	O
adult	B-LIFE_STAGE
population	O
size	O
(	O
Cowan	O
and	O
Shaw	O
,	O
2002	O
,	O
Pineda	O
et	O
al	O
.	O
,	O
2007	O
)	O
.	O
Recruitment	O
theories	O
have	O
thus	O
focused	O
on	O
the	O
environmental	O
modulation	O
of	O
larval	B-LIFE_STAGE
survival	O
,	O
and	O
they	O
generally	O
assume	O
that	O
while	O
spawning	O
occurs	O
within	O
relatively	O
fixed	O
time	O
-	O
frames	O
along	O
the	O
year	O
cycle	O
,	O
hydrographic	O
conditions	O
and	O
plankton	O
production	O
show	O
higher	O
inter	O
-	O
annual	O
variability	O
.	O
The	O
three	O
species	O
exhibit	O
similar	B-DISTRIBUTION_DESCRIPTOR
behaviour	I-DISTRIBUTION_DESCRIPTOR
and	O
ecological	B-DISTRIBUTION_DESCRIPTOR
preferences	I-DISTRIBUTION_DESCRIPTOR
.	O
They	O
are	O
inhabitants	O
of	O
shallow	B-DISTRIBUTION_DESCRIPTOR
reef	I-DISTRIBUTION_DESCRIPTOR
areas	I-DISTRIBUTION_DESCRIPTOR
,	O
usually	O
encountered	O
in	O
less	O
than	O
10	O
m	O
depth	O
.	O
During	O
the	O
day	O
they	O
are	O
mainly	O
sedentary	O
,	O
frequently	O
seen	O
resting	O
on	O
the	O
bottom	O
under	O
rock	B-DISTRIBUTION_DESCRIPTOR
or	O
coral	B-DISTRIBUTION_DESCRIPTOR
outcrops	B-DISTRIBUTION_DESCRIPTOR
on	O
substrata	O
containing	O
substantial	O
amounts	O
of	O
sand	B-DISTRIBUTION_DESCRIPTOR
,	O
silt	B-DISTRIBUTION_DESCRIPTOR
,	O
mud	B-DISTRIBUTION_DESCRIPTOR
,	O
or	O
algae	B-DISTRIBUTION_DESCRIPTOR
.	O
Presumably	O
they	O
are	O
active	O
nocturnally	O
,	O
and	O
are	O
known	O
to	O
feed	O
on	O
small	O
invertebrates	O
,	O
particularly	O
gastropod	O
molluscs	O
and	O
crustaceans	O
.	O
